"tabela","linhas"
"ComissaoPremiacaoVlGruPro","4"
"ComissaoPremiacaoCond","4"
"empresa","4"
"ForaDoBalanco","4"
"ForaDoBalancoProduto","4"
"EstoqueTipo","4"
"ParamentrosNFe","4"
"OrgaoRegistro","3"
"HistoricoVersoesCategoria","3"
"ComissaoPremiacaoVlVenda","3"
"Beneficio","3"
"ComissaoPremiacaoVlVCatRem","2"
"ComissaoPremiacaoTpVenda","2"
"ComissaoPremiacao","2"
"FechamentoMeta","2"
"Paises","2"
"RequisicaoEstoq","2"
"Pos_venda_det","2"
"Moeda","2"
"TipoCategoriaVenda","2"
"SysPaises","2"
"Whatsapp_Enviado","2"
"SisVersao","1"
"MetaVendaTpVenda","1"
"Nacionalidade","1"
"MetaVenda","1"
"MetaVendaDet","1"
"Promocao","1"
"Paramentros","1"
"ParametrosRTCategoriaVenda","1"
"ParametrosRTDiaPag","1"
"ParamentrosDesagio","1"
"ParametrosRTIndicacao","1"
"pos_venda","1"
"Filiais","1"
"Cod_tabelas","1"
"Controle_entrega_Assinaturas","1"
"CreditoIndicacao","1"
"CategoriaRemuneracao","1"
"acerto_eletrecistas","1"
"acerto_eletrecistas_det","1"
"acerto_eletrecistas_servicos","1"
"Assistencia_Tecnica","1"
"Assistencia_TecnicaProdutos","1"
"AutorizaInclusao","0"
"AutorizaInclusao_Servicos","0"
"AutorizoInclusao_Luminaria","0"
"AutorizoInclusao_Materiais","0"
"Avulso","0"
"Avulso_luminaria_det","0"
"Avulso_materiais_det","0"
"Assistencia_TecnicaMovimentacao","0"
"Assistencia_TecnicaNota","0"
"AltValorTabela","0"
"CategoriaCliente","0"
"CategoriaProfissionaisExterno","0"
"Cartoes","0"
"Caracteristicas","0"
"ControleChequeDev","0"
"ControleNSU","0"
"ContatosPrincipais","0"
"Contato_grupo_email","0"
"Cob_projetos","0"
"ContaAlteracaoData","0"
"contabilista","0"
"FormaPagamentoECF","0"
"GNR","0"
"Grupo_contato_email","0"
"FechamentoMetaEmp","0"
"Etiqueta_Grupo","0"
"EtiquetaGrupoDet","0"
"EstoqueExterno","0"
"Feriados","0"
"EmpresaFactoring","0"
"EmpresaFactoringAliqDesc","0"
"Enderecos_comuns","0"
"Ent_devolucao","0"
"Ent_devolucao_luminaria_det","0"
"Ent_devolucao_materiais_det","0"
"Ent_devolucao_servico_det","0"
"Ent_devolucaoDesagio","0"
"Entrega","0"
"EntregaDetalhe","0"
"DFeResumoNFe","0"
"dtproperties","0"
"ECFCheque","0"
"ECFContasReceber","0"
"ECFCupom","0"
"ECFCupomNaoFiscal","0"
"ECFFinanceiro","0"
"ECFMapaResumo","0"
"ECFMapaResumoAliquota","0"
