"fk","tabela_origem","coluna_origem","tabela_destino","coluna_destino"
"FK_TipodeDocumentoOrigem","ControleRH","CtrlRH_TpDocOri","Tipo_documento","Tpd_codigo"
"FK_CreditoIndicacao_Indicacoes","CreditoIndicacao","Ind_Codigo","Indicacoes","Ind_codigo"
"FK_CreditoIndicacao_Tipo_documento","CreditoIndicacao","Tpd_codigo","Tipo_documento","Tpd_codigo"
"FK_DadosBancarios_Bancos","DadosBancarios","Ban_Codigo","Bancos","Ban_Codigo"
"FK_EmpresaFactoring_Municipio","EmpresaFactoring","Mun_codigo","Municipio","mun_codigo"
"FK_EmpresaFactoringAliqDesc_EmpresaFactoring","EmpresaFactoringAliqDesc","EmpFact_Codigo","EmpresaFactoring","EmpFact_Codigo"
"FK_Enderecos_comuns_Municipio","Enderecos_comuns","Mun_codigo","Municipio","mun_codigo"
"FK_EstoqueExterno_EstoqueTipo","EstoqueExterno","EstTp_Codigo","EstoqueTipo","EstTp_Codigo"
"FK_CategoriaVenda","Factura","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_TipoExpedicao","Factura","TpExp_Codigo","TipoExpedicao","TpExp_Codigo"
"FK_Transportadora","Factura","Tra_codigo","Transportadora","Tra_codigo"
"FK_FacturaImport_Factura","FacturaImport","Fact_Tipo","Factura","Fact_Tipo"
"FK_FacturaImport_Factura","FacturaImport","Fact_Codigo","Factura","Fact_Codigo"
"FK_FacturaIVA_Factura","FacturaIVA","Fact_Tipo","Factura","Fact_Tipo"
"FK_FacturaIVA_Factura","FacturaIVA","Fact_Codigo","Factura","Fact_Codigo"
"FK_FacturaProduto_Factura","FacturaProduto","Fact_Tipo","Factura","Fact_Tipo"
"FK_FacturaProduto_Factura","FacturaProduto","Fact_Codigo","Factura","Fact_Codigo"
"FK_FechamentoComissaoConta_FechamentoComissao","FechamentoComissaoConta","FechComis_Codigo","FechamentoComissao","FechComis_Codigo"
"FK_FechamentoMetaEmp_FechamentoMeta","FechamentoMetaEmp","FechMeta_Codigo","FechamentoMeta","FechMeta_Codigo"
"FK_FechamentoMetaEmp_MetaVenda","FechamentoMetaEmp","MetaVenda_Codigo","MetaVenda","MetaVenda_Codigo"
"FK_FechamentoMetaFunc_CatRemuneracao","FechamentoMetaFunc","CatRem_Codigo","CategoriaRemuneracao","CatRem_Codigo"
"FK_FechamentoMetaFunc_FechamentoMeta","FechamentoMetaFunc","FechMeta_Codigo","FechamentoMeta","FechMeta_Codigo"
"FK_FechamentoMetaFunc_MetaVenda","FechamentoMetaFunc","MetaVenda_Codigo","MetaVenda","MetaVenda_Codigo"
"FK_filiais_municipio","Filiais","mun_codigo","Municipio","mun_codigo"
"FK_ForaDoBalanco_BalancoEstoque","ForaDoBalanco","BalEst_Codigo","BalancoEstoque","BalEst_Codigo"
"FK_ForaDoBalanco_fornecedor","ForaDoBalanco","For_codigo","fornecedor","For_codigo"
"FK_ForaDoBalancoProduto_Acabamento","ForaDoBalancoProduto","CodAcabamento","Acabamento","CodAcabamento"
"FK_ForaDoBalancoProduto_ForaDoBalanco","ForaDoBalancoProduto","ForBal_codigo","ForaDoBalanco","ForBal_codigo"
"FK_fornecedor_municipio","fornecedor","For_codcidade","Municipio","mun_codigo"
"FK_FornecedorGrupProd_For","FornecedorGrupProd","for_codigo","fornecedor","For_codigo"
"FK_FornecedorGrupProd_grup","FornecedorGrupProd","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_FornecedorRTGrupProd_For","FornecedorGrupProd","for_codigo","fornecedor","For_codigo"
"FK_FornecedorRTGrupProd_grup","FornecedorGrupProd","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_CentroCusto","Funcionario","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK_funcionario_cargo","Funcionario","Cargo_codigo","Cargo","Cargo_codigo"
"FK_funcionario_codigocidade","Funcionario","Fun_codcidade","Municipio","mun_codigo"
"FK_funcionario_estado_CarteiraTrabalho","Funcionario","Fun_CartTrabUF","Estado","UF"
"FK_funcionario_estado_TituloEleitor","Funcionario","Fun_TitEleitorUF","Estado","UF"
"FK_funcionario_GrauInstrucao","Funcionario","GrauInst_Codigo","GrauInstrucao","GrauInst_Codigo"
"FK_funcionario_Nacionalidade","Funcionario","Nac_codigo","Nacionalidade","Nac_codigo"
"FK_funcionario_naturalidade","Funcionario","Fun_naturalidade","Municipio","mun_codigo"
"FK_funcionario_RacaCor","Funcionario","RacaCor_Codigo","RacaCor","RacaCor_Codigo"
"FK_funcionario_setor","Funcionario","Setor_Codigo","Setor","Setor_codigo"
"FK_GrupoComissao","Funcionario","Fun_GrupoComissao","CategoriaRemuneracao","CatRem_Codigo"
"FK_GrupoPremiacao","Funcionario","Fun_GrupoPremiacao","CategoriaRemuneracao","CatRem_Codigo"
"FK_HistoricoVersao_HistoricoVersaoSistema","HistoricoVersoes","HistVerSis_Codigo","HistoricoVersoesSistema","HistVerSis_Codigo"
"FK_HistoricoVersaoLancamento_HistoricoVersao","HistoricoVersoesLancamento","HistVer_Codigo","HistoricoVersoes","HistVer_Codigo"
