id;idUsuario;idPai;Alterar;Excluir;Consultar;Imprimir;Inserir;idApresentacao;idGrupo;Emp_codigo
148;0;44;;;X;;;;4;
48;0;48;-;-;-;-;-;;4;
51;0;48;;;X;;;;4;
52;0;51;;;X;;;;4;
55;0;55;-;-;-;-;-;;4;
71;0;71;-;-;-;-;-;;4;
73;0;73;-;-;-;-;-;;4;
74;0;73;;;X;;X;;4;
78;0;74;;;X;;;;4;
83;0;74;;;X;;;;4;
284;0;74;;;X;X;;;4;
85;0;73;;;X;X;;;4;
86;0;85;;;X;X;;;4;
145;0;88;;;X;;;;4;
107;0;107;-;-;-;-;-;;4;
112;0;112;-;-;-;-;-;;4;
135;0;135;-;-;-;-;-;;4;
138;0;138;-;-;-;-;-;;4;
111;0;107;X;X;X;X;X;;1;
112;0;112;-;-;-;-;-;;1;
113;0;112;X;X;X;X;X;;1;
114;0;113;X;X;X;X;X;;1;
214;0;113;X;X;X;X;X;;1;
215;0;214;X;X;X;X;X;;1;
216;0;214;X;X;X;X;X;;1;
115;0;112;X;X;X;X;X;;1;
116;0;115;X;X;X;X;X;;1;
117;0;115;X;X;X;X;X;;1;
120;0;112;X;X;X;X;X;;1;
108;0;107;;;X;;X;;2;
121;0;120;X;X;X;X;X;;1;
122;0;120;X;X;X;X;X;;1;
123;0;120;X;X;X;X;X;;1;
217;0;120;X;X;X;X;X;;1;
285;0;120;X;X;X;X;X;;1;
310;0;120;X;X;X;X;X;;1;
314;0;120;X;X;X;X;X;;1;
112;0;112;-;-;-;-;-;;2;
135;0;135;-;-;-;-;-;;2;
138;0;138;-;-;-;-;-;;2;
239;0;105;X;X;X;X;X;;5;
240;0;105;X;X;X;X;X;;5;
297;0;105;X;X;X;X;X;;5;
183;0;87;X;X;X;X;X;;5;
184;0;183;X;X;X;X;X;;5;
234;0;73;X;X;X;X;X;;5;
235;0;234;X;X;X;X;X;;5;
283;0;234;X;X;X;X;X;;5;
286;0;234;X;X;X;X;X;;5;
302;0;234;X;X;X;X;X;;5;
313;0;234;X;X;X;X;X;;5;
107;0;107;-;-;-;-;-;;5;
108;0;107;;;X;;X;;5;
112;0;112;-;-;-;-;-;;5;
115;0;112;X;X;X;X;X;;5;
116;0;115;X;X;X;X;X;;5;
117;0;115;X;X;X;X;X;;5;
120;0;112;X;X;X;X;X;;5;
121;0;120;X;X;X;X;X;;5;
122;0;120;X;X;X;X;X;;5;
123;0;120;X;X;X;X;X;;5;
217;0;120;X;X;X;X;X;;5;
126;0;124;X;X;X;X;X;;5;
127;0;124;X;X;X;X;X;;5;
146;0;55;X;X;X;X;X;;3;
124;0;112;X;X;X;X;X;;1;
126;0;124;X;X;X;X;X;;1;
127;0;124;X;X;X;X;X;;1;
128;0;124;X;X;X;X;X;;1;
130;0;124;X;X;X;X;X;;1;
328;0;124;X;X;X;X;X;;1;
131;0;124;X;X;X;X;X;;1;
132;0;124;X;X;X;X;X;;1;
218;0;124;X;X;X;X;X;;1;
133;0;112;X;X;X;X;X;;1;
185;0;112;X;X;X;X;X;;1;
134;0;112;X;X;X;X;X;;1;
122;0;120;X;X;X;X;X;;3;
123;0;120;X;X;X;X;X;;3;
217;0;120;X;X;X;X;X;;3;
285;0;120;X;X;X;X;X;;3;
310;0;120;X;X;X;X;X;;3;
314;0;120;X;X;X;X;X;;3;
124;0;112;X;X;X;X;X;;3;
126;0;124;X;X;X;X;X;;3;
127;0;124;X;X;X;X;X;;3;
128;0;124;X;X;X;X;X;;3;
130;0;124;X;X;X;X;X;;3;
328;0;124;X;X;X;X;X;;3;
131;0;124;X;X;X;X;X;;3;
132;0;124;X;X;X;X;X;;3;
218;0;124;X;X;X;X;X;;3;
133;0;112;X;X;X;X;X;;3;
185;0;112;X;X;X;X;X;;3;
134;0;112;X;X;X;X;X;;3;
227;0;112;X;X;X;X;X;;3;
135;0;135;-;-;-;-;-;;3;
136;0;135;X;X;X;X;X;;3;
227;0;112;X;X;X;X;X;;1;
135;0;135;-;-;-;-;-;;1;
136;0;135;X;X;X;X;X;;1;
305;0;135;X;X;X;X;X;;1;
138;0;138;-;-;-;-;-;;1;
305;0;135;X;X;X;X;X;;3;
138;0;138;-;-;-;-;-;;3;
128;0;124;X;X;X;X;X;;5;
130;0;124;X;X;X;X;X;;5;
135;0;135;-;-;-;-;-;;5;
138;0;138;-;-;-;-;-;;5;
1;0;1;-;-;-;-;-;;7;
211;0;1;;;X;X;;;7;
2;0;165;;;X;X;;;7;
270;0;165;;;X;;;;7;
271;0;165;;;X;;;;7;
272;0;165;;;X;;;;7;
19;0;19;-;-;-;-;-;;7;
20;0;19;X;;X;X;X;;7;
21;0;19;;;X;X;;;7;
22;0;19;X;;X;X;X;;7;
29;0;28;;;X;;;;7;
32;0;19;;;X;X;;;7;
36;0;36;-;-;-;-;-;;7;
37;0;36;X;;X;X;X;;7;
38;0;36;X;X;X;X;X;;7;
39;0;36;X;;X;X;X;;7;
312;0;36;X;;X;X;X;;7;
170;0;36;;;X;X;;;7;
41;0;36;;;X;X;X;;7;
273;0;36;X;;X;X;X;;7;
179;0;36;X;;X;X;X;;7;
213;0;36;;;X;X;;;7;
44;0;44;-;-;-;-;-;;7;
148;0;44;;;X;;;;7;
152;0;44;;;X;;;;7;
48;0;48;-;-;-;-;-;;7;
49;0;48;;;X;;;;7;
51;0;48;;;X;;;;7;
52;0;51;;;X;;;;7;
55;0;55;-;-;-;-;-;;7;
173;0;53;;;X;X;;;7;
71;0;71;-;-;-;-;-;;7;
72;0;71;;;X;X;X;;7;
73;0;73;-;-;-;-;-;;7;
74;0;73;;;X;;X;;7;
77;0;74;;;X;X;X;;7;
79;0;74;;;X;X;X;;7;
242;0;74;;;X;X;X;;7;
80;0;74;;;X;X;;;7;
180;0;74;;;X;X;;;7;
153;0;74;;;X;X;;;7;
83;0;74;;;X;X;;;7;
147;0;74;;;X;X;;;7;
284;0;74;;;X;X;;;7;
299;0;74;;;X;X;;;7;
303;0;74;;;X;X;;;7;
90;0;88;;;X;X;;;7;
91;0;88;;;X;X;;;7;
145;0;88;;;X;X;;;7;
157;0;88;;;X;X;;;7;
150;0;149;;;X;X;;;7;
107;0;107;-;-;-;-;-;;7;
108;0;107;;;X;;X;;7;
112;0;112;-;-;-;-;-;;7;
135;0;135;-;-;-;-;-;;7;
138;0;138;-;-;-;-;-;;7;
