Cus_codigo;for_codigo;Cus_Nome;Cus_desconto1;Cus_desconto2;Cus_desconto3;Cus_desconto4;Cus_IPI;Cus_Frete;Cus_Icms;Cus_Embalagens;Cus_Financeira;Cus_Simples;Cus_outros;Cus_obs;Cus_MargValAgreg;Cus_IcmsDestino;Cus_TributacaoICMS;Cus_situacao;Cus_Importacao;Cus_Cambio;Cus_TpVlNFo;Cus_NFoICMS;Cus_NFoOutros;Cus_NFoIPI;Cus_NFoSimples;Cus_NFoEmbalagem;Cus_NFoFinanceiro;Cus_NFoFrete;Cus_NFoDesconto;Cus_ICMSDifAlqIPI;Cus_PorcCartao;Cus_STEmbalagem;Cus_CreditoICMS;Cus_CreditoPIS;Cus_CreditoCOFINS;Cus_CustoFixo;Cus_Desconto;Cus_FreteemCompra;Cus_ICMSValorCompra
102;40;PALACIO;;;;;0,0000;;12,0000;;;;;Margem - 2,50  IPI - isento ST - 12%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
103;40;PALACIO AJ;;;;;0,0000;;18,4300;;;;;Margem - 2,50  IPI - Isento - ST - 18,43%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
104;41;ARTEMIDE;;;;;0,0000;;15,0000;;;;0,0000;Margem - 2,50  IPI - Isento ST- 15%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
105;42;KLAXON - LIGHTMUN;;;;;15,0000;;16,7000;;;;0,0000;Margem-2,5  IPI - 15%  ST - 16,70%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
106;42;KLAXON - ZULL;;;;;0,0000;;0,0000;;;;;Margem - 2,2  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
107;42;KLAXON - PEPE;;;;;15,0000;;17,0000;;;;0,0000;Margem - 2,5  IPI - 15%   ST - 17%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
108;43;GOLDEN ART;;;;;0,0000;;12,0000;;;;;Margem: 2,5  IPI - ISENTO - ST - 12%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
109;44;CLARÃO IPI + ST;;;;;15,0000;;13,8300;;;;;Margem - 2,5  IPI - 15%   ST-13,83%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
110;44;CLARÃO SEM IPI;;;;;0,0000;;9,7200;;;;0,0000;Margem - 2,5  IPI - isento  ST - 9,72%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
111;45;MISTER LED;;;;;11,2500;;10,8100;;;;;MARGEM 2,4  IPI 11,25% - ST 10,81%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
112;42;KLAXON - CORRETO;;;;;0,0000;;17,0000;;;;0,0000;Margem - 2,5  IPI - Isento ST - 17%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
113;46;LITTMAN;;;;;15,0000;;12,8400;;;;;Margem - 2,5  IPI - 15% ST - 12,84 %;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
114;47;VR LUX - LINHA DECORATIVO;44,0000;;;;15,0000;;12,6400;;;;;Margem - 2,50    **desconto de 44%**  IPI - 15% ST - 12,64%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
115;48;ALPES ILUMINACAO;;;;;15,0000;;9,6400;;;;;Margem 2,5  IPI 15%   ST 9,64%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
116;49;FLOS;;;;;12,0000;;0,0000;;;;;Margem -2,5  IPI 12%  - Incluso ST;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
117;50;INTERLIGHT;;;;;9,7500;;21,5200;;;;;Margem - 2,25  IPI - 9,75% ST - 21,52%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
118;51;FASA FINAL;;;;;0,0000;;0,0000;;;;;PREÇO CLIENTE FINAL;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
119;52;NOTA FISCAL;;;;;0,0000;;0,0000;;;;;NOTA FISCAL;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
120;53;COMERCIAL PASSARINI;;;;;0,0000;;0,0000;;;;0,0000;Margem - 2,5  IPI - Incluso ST- Incluso;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
121;55;EVOLED (ATIVA COMERCIAL);;;;;0,0000;;0,0000;;;;;Margem - 2,5  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
122;54;VERMONTEX (NEMO);;;;;;;18,0000;;;;;Margem - 2,5  IPI - INCLUSO - ST - 18% com IVA - 46%;46;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
123;43;GOLDEN ART 2;;;;;15,0000;;0,0000;;;;;Margem - 2,5  IPI 15% ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
124;43;GOLDEN ART 3;;;;;15,0000;;12,4300;;;;;Margem - 2,5  IPI 15% - ST 12,43%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
125;56;LUNIX;;;;;;;6,5000;;;;;MARGEM: 2,5  IPI: ISENTO  /  ST: 6,5%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
126;57;BRONZEARTE;;;;;15,0000;;12,8400;;;;;MARGEM 2,7  IPI: 15%   ST: 12,84%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
127;58;ACCORD;;;;;0,0000;;16,4000;;;;0,0000;MARGEM 2,5  IPI: ISENTO - ST: 16,4%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
128;59;ARANYI;;;;;0,0000;;0,0000;;;;0,0000;MARGEM 2,15  IPI: ISENTO ST: 8,84;0;8,64;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
129;60;LUMART;;;;;0,0000;;0,0000;;;;0,0000;MARGEM 2,5  IPI: ISENTO ST: 8,64%;0;8,64;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
130;44;CLARÃO IPI;;;;;5,0000;;9,4100;;;;0,0000;MARGEM **2,5**  IPI 5% E ST 9,41;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
