for_codigo;Ipr_descricao;Ipr_custo;Ipr_produto;Ipr_vl_Tabela;Ipr_vl_Custo;Ipr_vl_com_inter;Ipr_vl_com_exter;Ipr_vl_venda;Ipr_desconto;Ipr_Lucro;Ipr_vl_Lucro;Ipr_Indice;Ipr_CodigoSigla;Ipr_situacao;Ipr_IndiceVlCusto;Ipr_VlLucroCusto;Ipr_CustoTotal
828;GAYA LAMPADAS;402;FITA HIPER BRILHO 20W/M 4000K 12V 2200 LÚ;21,9200;17,5400;0,0000;0,0000;38,5900;0,0000;54,5478;21,0500;1,7600;402;A;2,2;120,0114;17,54
830;LUMITEK;404;MINI SENSOR DE PRESENÇA;117,5200;128,9800;0,0000;0,0000;293,5100;0,0000;56,0560;164,5300;2,5000;404;A;2,28;127,5624;128,98
846;NEWSTANDARD;408;PERFIL L INEAR D E EMBUTIR F IT25;51,1100;65,3400;0,0000;0,0000;144,5600;0,0000;54,8008;79,2200;2,8300;408;A;2,21;121,2427;65,34
846;NEWSTANDARD - SP;416;PERFIL L INEAR D E EMBUTIR F IT25;51,1100;65,3400;0,0000;0,0000;170,6223;0,0000;61,7044;105,2800;3,3400;416;A;2,61;161,1264;65,34
847;BH ILUMINAÇÃO;411;PENDENTE MEIA BOLA;1037,0000;1133,7500;0,0000;0,0000;2689,2500;0,0000;57,8414;1555,5000;2,5900;411;A;2,37;137,1996;1133,75
849;GMH TRADE;413;PENDENT BLACK MOON;90,8400;90,8400;0,0000;0,0000;227,1000;0,0000;60,0000;136,2600;2,5000;413;A;2,5;150;90,84
850;INTERLUX;415;ABAJOUR LINHA DOLCEZZA;162,0000;176,8700;0,0000;0,0000;419,8700;0,0000;57,8751;243,0000;2,5900;415;A;2,37;137,389;176,87
856;ZIEL 1;421;TRILHO ELETROMAGNET ZT05 24V;177,0000;207,0900;0,0000;0,0000;561,0900;0,0000;63,0915;354,0000;3,1700;421;A;2,71;170,9402;207,09
856;ZIEL 2;422;TRILHO ELETROMAGNET ZT05 24V;177,0000;215,5000;0,0000;0,0000;569,5000;0,0000;62,1598;354,0000;3,2200;422;A;2,64;164,2691;215,5
856;ZIEL 3;423;TRILHO ELETROMAGNET ZT05 24V;177,0000;204,8800;0,0000;0,0000;558,8800;0,0000;63,3410;354,0000;3,1600;423;A;2,73;172,7841;204,88
861;OPUS;424;DIRECIONAL IRC>80;10,9000;10,9000;0,0000;0,0000;26,1600;0,0000;58,3333;15,2600;2,4000;424;A;2,4;140;10,9
861;OPUS - SP;425;DIRECIONAL IRC>80;10,9000;10,9000;0,0000;0,0000;28,7800;0,0000;62,1300;17,8800;2,6400;425;A;2,64;164,0367;10,9
863;CUPULAS GUERRA;427;CUPULA ALGODÃO CRU 15X15;28,0000;28,0000;0,0000;0,0000;84,0000;0,0000;66,6667;56,0000;3,0000;427;A;3;200;28
875;M FERREIRA;429;PENDENTE;850,0000;921,9100;0,0000;0,0000;2196,9100;0,0000;58,0361;1275,0000;2,5800;429;A;2,38;138,2998;921,91
